User Rating,Reviews,Price,Year,Genre
4.7,1542,14,2010,Non Fiction
4.7,5505,7,2009,Fiction
4.7,15779,10,2012,Non Fiction
4.9,7235,4,2018,Fiction
4.4,4247,13,2012,Non Fiction
4.9,21834,8,2012,Fiction
4.9,14344,5,2019,Fiction
4.6,22288,12,2018,Non Fiction
4.6,5542,10,2015,Non Fiction
4.3,3523,13,2010,Fiction
4.8,4757,4,2017,Fiction
4.5,8580,46,2017,Non Fiction
4.4,11616,7,2012,Fiction
4.8,3837,15,2009,Fiction
4.8,7665,12,2019,Non Fiction
4.9,19546,5,2019,Fiction
4.7,17323,4,2015,Non Fiction
4.6,5542,10,2016,Non Fiction
4.6,11128,23,2015,Non Fiction
4.7,23308,6,2018,Non Fiction
4.8,7062,12,2019,Non Fiction
4.9,19546,5,2017,Fiction
4.7,9289,9,2011,Non Fiction
4.6,3207,6,2009,Non Fiction
4.4,4642,13,2013,Non Fiction
4.5,2525,16,2010,Non Fiction
4.8,8922,9,2014,Fiction
4.6,19720,8,2009,Fiction
4.6,5360,5,2015,Non Fiction
4.7,9292,17,2014,Non Fiction
4.8,3428,14,2015,Non Fiction
4.3,807,36,2016,Non Fiction
4.7,1985,9,2011,Non Fiction
4.6,5492,18,2017,Non Fiction
4.5,6346,9,2012,Non Fiction
4.9,21834,8,2019,Fiction
4.6,5542,10,2014,Non Fiction
4.8,7866,11,2019,Non Fiction
4.9,7038,7,2012,Fiction
4.6,3163,13,2012,Non Fiction
4.6,4149,32,2011,Non Fiction
4.8,25554,8,2019,Non Fiction
4.5,13609,14,2019,Fiction
4.7,14331,8,2019,Non Fiction
4.8,9947,11,2018,Fiction
4.7,6377,7,2012,Fiction
4.9,5396,20,2013,Fiction
4.7,11550,10,2019,Non Fiction
4.6,7508,16,2015,Non Fiction
4.8,29673,13,2014,Non Fiction
