danceability,energy,instrumentalness,liveness,valence,music_genre
,,,,,
0.7759999999999999,0.8740000000000001,0.0202,0.0707,0.389,Electronic
0.66,0.7809999999999999,0.0,0.196,0.875,Blues
0.8220000000000001,0.731,0.243,0.172,0.187,Electronic
0.6509999999999999,0.412,1.65e-05,0.109,0.437,Rap
0.304,0.938,0.0126,0.32,0.377,Alternative
,,,,,
0.498,0.916,1.31e-06,0.0734,0.352,Country
,,,,,
0.772,0.7290000000000001,0.0,0.257,0.475,Hip-Hop
0.892,0.679,1.55e-05,0.301,0.434,Rap
0.593,0.927,0.132,0.118,0.432,Alternative
0.926,0.336,0.0,0.138,0.38,Rap
0.618,0.8079999999999999,0.000167,0.104,0.284,Country
0.49,0.193,9.74e-06,0.113,0.184,Rock
0.382,0.155,0.952,0.223,0.492,Classical
0.687,0.337,5.36e-05,0.0987,0.6920000000000001,Jazz
0.5870000000000001,0.512,1.84e-05,0.0452,0.3339999999999999,Country
0.382,0.735,0.0837,0.0758,0.608,Rock
,,,,,
0.825,0.7959999999999999,0.0,0.434,0.7,Hip-Hop
0.617,0.492,0.0,0.484,0.208,Rap
0.5489999999999999,0.939,0.0,0.074,0.5479999999999999,Alternative
0.508,0.809,0.0,0.608,0.489,Hip-Hop
0.7859999999999999,0.5379999999999999,0.0,0.086,0.5489999999999999,Rap
0.369,0.612,0.0636,0.563,0.647,Blues
0.5489999999999999,0.887,0.0153,0.348,0.341,Rock
0.379,0.941,0.000666,0.0393,0.527,Alternative
,,,,,
0.726,0.568,0.0,0.0488,0.631,Hip-Hop
0.616,0.186,1.32e-06,0.166,0.878,Blues
0.591,0.804,5.98e-06,0.0818,0.6579999999999999,Rock
0.364,0.875,0.0242,0.963,0.354,Blues
0.29,0.0183,0.938,0.121,0.231,Classical
0.698,0.361,0.804,0.1169999999999999,0.637,Jazz
0.4529999999999999,0.623,0.0182,0.318,0.4429999999999999,Country
0.4529999999999999,0.633,0.91,0.107,0.353,Electronic
0.447,0.748,0.0,0.314,0.568,Jazz
0.5539999999999999,0.412,1.51e-05,0.1119999999999999,0.395,Blues
0.84,0.911,0.0,0.1169999999999999,0.7340000000000001,Jazz
0.6709999999999999,0.797,0.0,0.569,0.802,Country
0.496,0.79,1.7199999999999998e-05,0.281,0.424,Country
0.696,0.8390000000000001,0.235,0.147,0.278,Electronic
0.373,0.3879999999999999,0.0,0.267,0.687,Rock
0.511,0.7929999999999999,0.0,0.0501,0.799,Hip-Hop
0.502,0.6990000000000001,0.0,0.0647,0.419,Rap
0.648,0.782,0.4679999999999999,0.0565,0.494,Electronic
0.156,0.00267,0.637,0.105,0.0318,Classical
0.764,0.5529999999999999,0.0,0.0783,0.103,Hip-Hop
0.35,0.8059999999999999,5.93e-05,0.207,0.395,Blues
0.568,0.7070000000000001,0.898,0.1169999999999999,0.623,Electronic
0.444,0.42,0.0,0.0459,0.474,Blues
0.6509999999999999,0.444,7.87e-05,0.318,0.895,Country
0.7240000000000001,0.524,0.621,0.0772,0.6829999999999999,Jazz
0.6940000000000001,0.917,0.422,0.515,0.526,Electronic
0.63,0.7559999999999999,0.00041,0.318,0.8,Country
,,,,,
0.5770000000000001,0.265,0.0,0.114,0.365,Country
0.657,0.8320000000000001,0.0,0.131,0.532,Country
0.675,0.3429999999999999,0.14,0.172,0.74,Country
0.688,0.782,0.0,0.8029999999999999,0.4529999999999999,Hip-Hop
0.12,0.12,0.937,0.109,0.1009999999999999,Classical
0.424,0.52,0.00413,0.411,0.184,Rap
0.804,0.555,0.0,0.102,0.516,Hip-Hop
,,,,,
0.314,0.352,0.858,0.108,0.425,Classical
0.721,0.5820000000000001,0.0008,0.132,0.444,Alternative
0.4529999999999999,0.149,0.932,0.261,0.304,Jazz
0.488,0.8390000000000001,0.0,0.1009999999999999,0.55,Alternative
0.792,0.969,0.00869,0.644,0.667,Electronic
0.7959999999999999,0.951,0.857,0.0656,0.816,Electronic
0.514,0.825,0.293,0.607,0.655,Rock
0.141,0.0688,0.931,0.161,0.0349,Classical
0.602,0.7240000000000001,0.0,0.316,0.158,Country
,,,,,
0.6629999999999999,0.975,0.77,0.076,0.405,Electronic
0.475,0.698,0.0001189999999999,0.123,0.424,Alternative
,,,,,
0.867,0.618,1.8e-06,0.128,0.857,Rap
0.534,0.826,4.53e-06,0.3779999999999999,0.591,Blues
0.679,0.71,0.00322,0.255,0.685,Alternative
,,,,,
0.447,0.906,0.0,0.368,0.188,Electronic
0.578,0.414,1.05e-06,0.0953,0.862,Jazz
,,,,,
0.625,0.513,0.662,0.0984,0.628,Jazz
0.608,0.74,0.0,0.102,0.841,Blues
