danceability,energy,instrumentalness,music_genre
0.523,0.77,0.0365,Alternative
0.157,0.0553,0.8,Classical
0.336,0.807,0.00985,Alternative
0.769,0.396,0.865,Jazz
0.604,0.8759999999999999,0.00148,Electronic
0.6,0.767,0.0,Rap
0.7070000000000001,0.632,0.0244,Alternative
0.65,0.449,1.94e-05,Rock
0.6970000000000001,0.441,1.34e-06,Rap
0.56,0.303,1.87e-05,Country
0.308,0.0427,0.0,Country
0.64,0.0728,0.867,Jazz
,,,
0.774,0.643,0.0,Rap
0.799,0.3379999999999999,0.0,Hip-Hop
0.512,0.379,1.09e-05,Country
0.8959999999999999,0.65,0.03,Electronic
0.6509999999999999,0.747,0.0005549999999999,Rock
,,,
0.625,0.757,0.0,Country
,,,
0.746,0.975,0.003,Electronic
0.913,0.141,0.907,Electronic
0.482,0.318,0.0,Blues
0.606,0.575,0.0,Blues
,,,
0.596,0.456,0.947,Electronic
0.594,0.883,0.0,Country
0.406,0.977,0.0277,Alternative
0.66,0.976,0.804,Electronic
0.4679999999999999,0.701,0.00226,Rock
0.813,0.764,0.0,Rap
0.446,0.708,0.0,Rock
0.902,0.497,0.0,Rap
0.85,0.7140000000000001,0.0,Hip-Hop
0.8240000000000001,0.396,0.0028899999999999,Alternative
0.706,0.457,0.00849,Rock
0.563,0.6459999999999999,0.0008789999999999,Rock
0.672,0.878,0.0,Country
0.527,0.1669999999999999,0.000843,Blues
0.599,0.7879999999999999,0.00525,Alternative
0.82,0.933,0.0659,Electronic
0.715,0.759,0.0,Hip-Hop
0.773,0.706,0.0148,Rap
0.624,0.5479999999999999,0.0001699999999999,Rock
0.4629999999999999,0.632,0.0,Hip-Hop
0.51,0.802,0.0,Country
0.3429999999999999,0.94,0.0,Rock
,,,
0.261,0.938,0.0106,Alternative
0.774,0.631,0.000291,Hip-Hop
,,,
0.431,0.81,0.0,Rock
0.621,0.434,0.0675,Rap
0.635,0.476,5.97e-05,Blues
0.907,0.466,2.43e-06,Jazz
0.47,0.435,0.784,Classical
0.5479999999999999,0.64,0.000328,Alternative
,,,
0.861,0.365,0.0,Hip-Hop
0.513,0.915,0.922,Jazz
0.416,0.823,0.424,Blues
0.346,0.913,0.59,Alternative
0.5670000000000001,0.831,2.7e-06,Country
0.722,0.728,2.07e-05,Hip-Hop
0.665,0.313,0.0118,Blues
0.358,0.452,0.8640000000000001,Jazz
,,,
,,,
0.7929999999999999,0.701,0.608,Electronic
0.505,0.0737,0.877,Jazz
0.6940000000000001,0.889,6.39e-06,Country
,,,
0.638,0.925,0.163,Electronic
0.505,0.865,0.0,Country
0.66,0.789,0.0,Rap
,,,
0.736,0.659,0.8059999999999999,Electronic
0.594,0.927,8.859999999999999e-05,Blues
0.588,0.521,0.149,Alternative
0.441,0.4029999999999999,1.27e-05,Hip-Hop
0.6729999999999999,0.757,0.0,Hip-Hop
0.3829999999999999,0.00183,0.939,Classical
0.6759999999999999,0.6409999999999999,0.262,Rock
0.439,0.908,0.0054,Alternative
0.67,0.8290000000000001,0.000225,Rock
0.8190000000000001,0.8390000000000001,0.0,Jazz
0.171,0.33,0.00381,Blues
0.574,0.3989999999999999,0.0,Hip-Hop
0.657,0.884,0.0922,Electronic
0.782,0.7509999999999999,0.0,Hip-Hop
0.455,0.818,0.7,Jazz
0.607,0.614,0.0,Country
0.472,0.345,0.0,Jazz
0.3,0.452,0.0008179999999999,Rock
0.682,0.5870000000000001,0.8,Electronic
,,,
0.171,0.485,0.6779999999999999,Classical
0.5579999999999999,0.955,0.0,Alternative
0.8390000000000001,0.613,0.0,Hip-Hop
0.544,0.374,0.0,Blues
0.427,0.396,2e-06,Rock
0.6759999999999999,0.917,0.823,Electronic
0.489,0.6409999999999999,0.0,Country
0.787,0.517,1.07e-05,Rock
0.623,0.497,0.8759999999999999,Jazz
0.6679999999999999,0.745,0.462,Electronic
0.784,0.63,0.0238,Alternative
0.476,0.938,0.000111,Electronic
0.287,0.12,0.00153,Classical
0.28,0.0202,0.105,Classical
,,,
0.653,0.546,0.0,Rap
