№ п.п.,07.09.23,11.09.23,14.09.23,21.09.23,26.09.23,28.09.23,28.09.23,03.10.23,03.10.23,10.10.23,17.10.23,17.10.23,24.10.23,24.10.23,31.10.23,31.10.23,07.11.23,07.11.23,14.11.23,14.11.23,21.11.23,21.11.23,28.11.23,28.11.23,05.12.23,05.12.23,12.12.23,12.12.23,19.12.23,19.12.23,26.12.23,26.12.23,,,Лаб 1,Лаб 1,Лаб 2,Лаб 2,Лаб 3,Лаб 3,Лаб 4,Лаб 4,Лаб 5,Лаб 5,Лаб 6,Лаб 6,Лаб 7,Лаб 7,Лаб 8,Лаб 8,Лаб 9,Лаб 9,Лаб 10,Лаб 10,Итого
,лек,лек,лаб,лек,лек,лаб,лаб,лек,лаб,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,,,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,
1,,,,,,,,,,н,,,,н,,,,,,,,,,,,,,,,,,,,,28.09.23,10,,,,,,,,,,,,,,,,,,,10
2,н,н,н,н,н,н,н,н,н,н,н,н,н,н,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,,,,,н,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.09.23,10,10.10.23,10,10.10.23,5,24.10.23,5,,,,,,,,,,,,,30
4,,,,н,,,,,,,,,н,н,,,,,,,,,,,,,,,,,,,,,03.10.23,10,,,17.10.23,5,,,,,,,,,,,,,,,15
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03.10.23,10,10.10.23,10,10.10.23,5,24.10.23,5,,,,,,,,,,,,,30
6,,,,н,н,,,,,н,,,н,н,,,,,,,,,,,,,,,,,,,,,03.10.23,10,,10,17.10.23,5,,,,,,,,,,,,,,,25
7,,,,н,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03.10.23,10,,,23.10.23,3,24.10.23,5,,,,,,,,,,,,,18
8,,,,,,,,н,н,,н,н,н,н,,,,,,,,,,,,,,,,,,,,,10.10.23,5,10.10.23,10,17.10.23,5,17.10.23,5,17.10.23,5,,,,,,,,,,,30
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.09.23,10,28.09.23,5,02.10.23,,24.10.23,5,,,,,,,,,,,,,20
10,,,,н,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03.10.23,10,10.10.23,10,17.10.23,5,24.10.23,5,,,,,,,,,,,,,30
11,,,,,,н,н,,,,н,н,,,,,,,,,,,,,,,,,,,,,,,03.10.23,10,10.10.23,10,24.10.23,5,,,,,,,,,,,,,,,25
12,,,,н,н,н,н,,,,,,,,,,,,,,,,,,,,,,,,,,,,03.10.23,10,10.10.23,10,17.10.23,5,24.10.23,5,,,,,,,,,,,,,30
13,,,,н,н,,,,,н,н,н,н,н,,,,,,,,,,,,,,,,,,,,,03.10.23,10,,,,,,,,,,,,,,,,,,,10
14,,,,н,н,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03.10.23,10,10.10.23,10,17.10.23,5,24.10.23,5,,,,,,,,,,,,,30
15,,,,н,н,,,н,н,н,н,н,,,,,,,,,,,,,,,,,,,,,,,28.09.23,10,,,,,,,,,,,,,,,,,,,10
16,,,,,,,,,,н,,,,,,,,,,,,,,,,,,,,,,,,,28.09.23,10,03.10.23,10,17.10.23,5,24.10.23,5,,,,,,,,,,,,,30
17,,,,н,н,н,н,,,н,н,н,н,н,,,,,,,,,,,,,,,,,,,,,03.10.23,10,,,,,,,,,,,,,,,,,,,10
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.09.23,10,10.10.23,10,17.10.23,5,24.10.23,5,,,,,,,,,,,,,30
19,н,н,н,н,н,н,н,н,н,н,н,н,н,н,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
